名称,开始时间,结束时间,类型
【剿灭·哥伦比亚】66号航道,2024-10-28 04:00:00,2025-01-06 04:00:00,99
【保全#6】荒原,2024-10-28 04:00:00,2024-12-05 10:00:00,99
【联合寻访】,2024-11-15 4h,14,0
【中坚甄选】,2024-11-14 4h,14,0
【揭幕者们】商店,2024-11-01 16h,2024-11-29 04:00:00,1
【登陆】补给签到活动,2024-11-14 04:00:00,2024-11-24 04:00:00,2
【标准池】灵知、提丰,2024-11-21 04:00:00,2024-12-05 04:00:00,0
【复刻·崔林特尔梅之金】商店,2024-11-25 16:00:00,14,1
【复刻·崔林特尔梅之金】战斗,2024-11-25 16:00:00,10,1
【出苍白海】商店,2024-12-05 16:00:00,21,1
【出苍白海】战斗,2024-12-05 16:00:00,14,1
【联动·留影烁今】,2024-12-12 16:00:00,10,2
【复刻·银心湖列车】商店,2024-12-19 16:00:00,14,1
【复刻·银心湖列车】战斗,2024-12-19 16:00:00,10,1
【限时寻访】锏,2024-12-19 16:00:00,14,0
【标准池】焰影苇草、莱伊,2024-12-05 04:00:00,14,0
【中坚池】棘刺、史尔特尔,2024-11-28 04:00:00,14,0
【限时寻访】引星棘刺,2024-12-5 16h,14,0
【保全#7】协奏,2024-12-05 16:00:00,2025-4-16 4h,99
【标准池】菲亚梅塔、涤火杰西卡,2024-12-19 04:00:00,14,0
【中坚池】阿、赫拉格,2024-12-12 04:00:00,14,0
【跨年池】跨年欢庆·愿景,2025-1-1 0:00:00,15,0
【跨年池】跨年欢庆·中坚,2024-12-26 4:00:00,14,0
【跨年纪念】签到,2024-12-29 4h,10,2
【标准池】林、水月,2025-1-2 04:00:00,14,0
【视相博物馆】,2024-12-29 16:00:00,2025-1-12 4h,2
【集成战略】限时任务,2025-01-09 16:00:00,2025-02-14 04:00:00,2
【忒斯特收藏】系列 - 寰宇独奏,12-23 20:30:00,2025-1-20,2
【剿灭·炎国】壬午号水稻田,2025-1-6 04:00:00,2025-03-03 04:00:00,99
【中坚池】山、夜莺,2025-1-9 04:00:00,14,0
*【标准池】号角、帕拉斯,2025-1-16 04:00:00,14,0
*【复刻·怀黍离】战斗,2025-1-16 16h,10,1
*【复刻·怀黍离】商店,2025-1-16 16h,14,1
【标准池】莱伊/霍尔海雅,2025-04-24 04:00:00,2025-05-08 03:59:00,0
【中坚池】闪灵/莫斯提马,2025-04-17 04:00:00,2025-05-01 03:59:00,0
